"id";"ind";"min_dt_h";"max_dt_h";"median_dt_h";"mode1";"prop_mode1";"mode2";"prop_mode2"
"1";1;3.6;360.983333333333;8;4;10.4529616724739;4.1;8.71080139372822
"2";2;3.63333333333333;646.983333333333;37.25;27.9;3.35570469798658;4.1;2.01342281879195
"3";3;3.6;82.95;8.2;4;5.4421768707483;4.1;5.4421768707483
"4";4;2.96666666666667;73.9833333333333;4;3;48.8977955911824;6;15.8316633266533
"5";5;4;19;4;4;84.2293906810036;5;7.88530465949821
"6";6;3;19;3;3;86.9653767820774;4;7.94297352342159
"7";7;2.98333333333333;53;3;3;65;6;15.9677419354839
"8";8;0.433333333333333;211.983333333333;8;4;44.8979591836735;8;10.760667903525
"9";9;0.4;39.9666666666667;2.01666666666667;2;55.2605703048181;4;10.8161258603736
"10";10;0.383333333333333;144.016666666667;2.01666666666667;2;56.4487102579484;12;9.23815236952609
"11";11;0.0166666666666667;229.983333333333;4;2;40.6798245614035;4;12.9385964912281
"12";12;0.95;117.016666666667;1;1;93.6940298507463;2;3.54477611940298
"13";13;0.0333333333333333;93;1;1;94.2845802738639;2;3.86981543957134
"14";14;0.0166666666666667;5;1;1;59.6858638743456;2;30.3664921465969
"15";15;0.0166666666666667;14.0333333333333;1;1;64.9016641452345;2;26.7019667170953
"16";16;2.98333333333333;28;3;3;86.420109794857;4;9.50592314360012
"17";17;0.633333333333333;37.0166666666667;5;5;13.9925373134328;4.9;9.51492537313433
"18";18;0.0166666666666667;117.016666666667;1;1;92.9096411586684;2;3.76134889753567
"19";19;0.45;411.116666666667;0.983333333333333;0.5;45.5405405405405;1;36.8918918918919
"20";20;0.966666666666667;14;1;1;94.1134371086062;2;3.73948828055108
"21";21;3.6;236.016666666667;11.9666666666667;4;35.2760736196319;8;13.8036809815951
"22";22;0.95;129.016666666667;1;1;94.732370433305;2;3.35598980458794
"23";23;0.95;22.0166666666667;1;1;97.3730297723292;2;1.57618213660245
"24";24;0.783333333333333;136.233333333333;7.96666666666667;4;9.86842105263158;8;5.92105263157895
"25";25;0.0166666666666667;20709.0166666667;1;1;62.7408328154133;2;30.6712243629584
"26";26;0.1;90;2;2;92.9596488266081;4;3.56238392706399
"27";27;0.0666666666666667;18980.0333333333;7.96666666666667;4;49.5527728085868;8;18.9624329159213
"28";28;3.95;55.9833333333333;7.98333333333333;4;46.5686274509804;8;17.6470588235294
"29";29;3.98333333333333;136;17.9916666666667;4;25.7575757575758;16;10.6060606060606
"30";30;0.45;172;10.0083333333333;5;17.9310344827586;4;13.6206896551724
"31";31;3.96666666666667;116;16.0166666666667;4;27.4509803921569;16;12.7450980392157
"32";32;3.96666666666667;140;12;4;33.8912133891213;8;11.2970711297071
"33";33;3.95;163.983333333333;15.9916666666667;4;36.3636363636364;20;15.1515151515152
"34";34;4.96666666666667;264.016666666667;24.0166666666667;24;40.6593406593407;5;9.89010989010989
"35";35;0.5;4559.58333333333;359.666666666667;0.5;6.25;61.3;6.25
"36";36;0.0166666666666667;23882.1666666667;312.85;0;3.2258064516129;3.8;3.2258064516129
"37";37;1;68;16;24;19.5238095238095;4;17.1428571428571
"38";38;4;68;24;24;23.5294117647059;4;11.7647058823529
"39";39;1;1752;10;8;16.3076923076923;9;9.84615384615385
"40";40;1;2208;12;8;19.7802197802198;7;16.4835164835165
"41";41;0.0333333333333333;159;1;1;96.1421934962634;2;2.40355483740658
"42";42;0.0833333333333333;59.5;0.5;0.5;86.0310421286031;1;7.6301030389983
"43";43;1;6061;4;3;28.9930555555556;6;23.0902777777778
"44";44;4.83333333333333;2223.33333333333;9.66666666666667;4.8;40.7766990291262;9.7;15.5339805825243
"45";45;4.8;53.2;4.86666666666667;4.8;50;9.7;18.4210526315789
"46";46;4.8;2508.51666666667;9.68333333333333;4.8;37.3303167420815;9.7;16.9683257918552
"47";47;4.83333333333333;130.5;9.66666666666667;4.8;34.8031496062992;9.7;20.1574803149606
"48";48;4.8;492.983333333333;4.85;4.8;50.7042253521127;9.7;16.9014084507042
"49";49;2;734;2;2;90.2862985685072;4;3.16973415132924
"50";50;0.0166666666666667;3.01666666666667;1;1;98.2352941176471;2;0.808823529411765
"51";51;2.96666666666667;170.983333333333;3.01666666666667;3;56.0606060606061;6;15.2892561983471
"52";52;0.95;23;1;1;98.2084690553746;2;1.1400651465798
"53";53;0.05;22720;4.05;4;49.8327759197324;8;11.371237458194
"54";54;0.05;204.016666666667;4.01666666666667;4;59.375;8;16.40625
"55";55;3.96666666666667;168.016666666667;15.9916666666667;4;23.5714285714286;8;13.5714285714286
"56";56;3.98333333333333;212;11.9833333333333;4;27.7777777777778;8;21.2962962962963
"57";57;3.98333333333333;412.016666666667;20;12;18.5185185185185;4;14.8148148148148
"58";58;3.73333333333333;114;18.4916666666667;12;18.9873417721519;24;18.9873417721519
"59";59;0.466666666666667;9681.98333333333;12;4;23.094688221709;8;15.2424942263279
"60";60;3.96666666666667;376;8;4;45.5965909090909;8;15.9090909090909
"61";61;3.98333333333333;95.9833333333333;8.00833333333333;4;37.962962962963;8;15.7407407407407
"62";62;2;152;16;16;23.8709677419355;8;13.5483870967742
"63";63;6;66;11;6;33.9195979899498;11;20.3517587939699
"64";64;1;100;4;3;28.1114551083591;6;17.3993808049536
"65";65;0.6;280.8;4.86666666666667;5;9.11793855302279;1;7.92864222001982
"66";66;1.98333333333333;284.016666666667;45.0083333333333;2;7.69230769230769;4;7.69230769230769
"67";67;6.65;74.75;8.075;6.8;9.23076923076923;7;9.23076923076923
"68";68;0.0166666666666667;149.25;0.983333333333333;0.5;47.4051896207585;1;43.812375249501
"69";69;0.0166666666666667;20.0166666666667;1;1;64.3372798151891;2;27.8660121282125
"70";70;2.28333333333333;74.6666666666667;4.66666666666667;2.3;32.5709057639524;4.7;14.6386093321134
"71";71;2.28333333333333;123.65;4.66666666666667;2.3;30.2173913043478;4.7;13.2608695652174
"72";72;2.28333333333333;247.316666666667;4.68333333333333;2.3;23.994452149792;4.7;18.3079056865465
"73";73;1.01666666666667;14;2.33333333333333;2.3;56.2197092084006;2.4;20.5169628432956
"74";74;0.916666666666667;40;4;4;82.4480369515012;8;12.1632024634334
"75";75;1.8;368.016666666667;4;4;85.2333136444182;8;10.100413467218
"76";76;3.95;167.95;4;4;75.6991920447483;8;15.5376009944065
"77";77;3.95;28.0333333333333;4;4;73.4545454545455;8;16.0727272727273
"78";78;3.91666666666667;440;4.03333333333333;4;52.3212045169385;8;19.9498117942284
"79";79;0.0166666666666667;9.98333333333333;1;1;61.9399739016964;2;31.8834275772075
"80";80;1.45;19.5166666666667;1.51666666666667;1.5;59.4142259414226;3;19.8744769874477
"81";81;0.0166666666666667;74;1;1;74.3059979976336;2;19.3228360790025
"82";82;0.566666666666667;3496.36666666667;5.00833333333333;5;15.6671664167916;4.9;6.071964017991
"83";83;3.98333333333333;44;8;4;45.045045045045;8;18.018018018018
"84";84;0.0166666666666667;13.0166666666667;1;1;61.8851615558757;2;30.870549495781
"85";85;0.566666666666667;474.316666666667;5.23333333333333;5;10.012836970475;1;6.93196405648267
"86";86;0.0166666666666667;66.0166666666667;1;1;63.1654676258993;2;28.1294964028777
"87";87;0.0166666666666667;145.983333333333;1;1;60.6796116504854;2;32.5242718446602
"88";88;0.0166666666666667;103.966666666667;1.03333333333333;1;50.1158301158301;2;18.8416988416988
"89";89;0.983333333333333;10614.2333333333;2;1;45.3722747840395;3.5;22.8712464006582
"90";90;0.5;140;9.98333333333333;2;18.0685358255452;4;11.214953271028
"91";91;0.0666666666666667;8034;11.6833333333333;6;42.5287356321839;18;16.0919540229885
"92";92;0.0166666666666667;8652;6;6;43.1578947368421;12;17.8947368421053
"93";93;5.95;1085.98333333333;6;6;78.6901270772238;12;13.4897360703812
"94";94;5.95;41.9833333333333;6;6;73.2038834951456;12;15.3398058252427
"95";95;1.96666666666667;1980.01666666667;2.01666666666667;2;66.6666666666667;4;5
"96";96;5.95;36;6;6;83.6734693877551;12;11.6326530612245
"97";97;1;1650;6;6;77.2108843537415;12;8.16326530612245
"98";98;4.95;285.016666666667;5.01666666666667;5;57.9821200510856;10;19.9233716475096
"99";99;1.95;165.983333333333;2;2;79.0911549905329;4;13.1187449283203
"100";100;5.96666666666667;1505.96666666667;6;6;75.609756097561;252;4.8780487804878
"101";101;0.983333333333333;203;7;5;26.7990074441687;1;10.1736972704715
"102";102;0.983333333333333;60;4.01666666666667;4;40.6666666666667;8;18
"103";103;4.98333333333333;23;6;5;42.1052631578947;6;31.5789473684211
"104";104;0.983333333333333;4090.36666666667;5;5;46.6165413533835;1;15.0375939849624
"105";105;0.0333333333333333;54;3;3;65.8617424242424;6;15.5776515151515
"106";106;1.25;8763;3;3;62.8318584070796;6;11.0619469026549
"107";107;3;963;3;3;61.8881118881119;6;15.3846153846154
"108";108;3;27;3;3;67.2916666666667;6;14.7916666666667
"109";109;3;234;3;3;53.0487804878049;6;12.8048780487805
"110";110;3;168;6;3;40;6;11.5151515151515
"111";111;0.116666666666667;7464;3;3;63.5742743312464;6;13.8873079112123
"112";112;1;465;3;3;62.6865671641791;6;8.95522388059701
"113";113;0.0333333333333333;2850;3;3;61.2994350282486;6;10.8757062146893
"114";114;0.0333333333333333;102;3;3;70.985401459854;6;11.0705596107056
"115";115;3;567;3;3;68.1388012618297;6;14.1955835962145
"116";116;0.95;117;1;1;93.5609463911351;2;4.34261755016472
"117";117;0.95;35;1;1;96.5235899255055;2;2.44767648102164
